,x,pdf
0,0.0,0.0
1,9.00900900900901,9.880153935453748e-06
2,18.01801801801802,3.952061363473239e-05
3,27.027027027027028,8.892136780989467e-05
4,36.03603603603604,0.00015808238711230243
5,45.04504504504504,0.00024700361510230224
6,54.054054054054056,0.0003556849592189624
7,63.06306306306307,0.00048412628174990453
8,72.07207207207207,0.0006323273908012831
9,81.08108108108108,0.0008002880312679756
10,90.09009009009009,0.0009880078758040588
11,99.0990990990991,0.0011954865157936584
12,108.10810810810811,0.0014227234523222657
13,117.11711711711712,0.0016697180871486426
14,126.12612612612614,0.00193646971367742
15,135.13513513513513,0.002222977507932535
16,144.14414414414415,0.0025292405195316524
17,153.15315315315317,0.0028552576626617063
18,162.16216216216216,0.003201027707055764
19,171.17117117117118,0.0035665492689713565
20,180.18018018018017,0.003951820802170485
21,189.1891891891892,0.004356840588901513
22,198.1981981981982,0.004781606730883122
23,207.2072072072072,0.005226117140290603
24,216.21621621621622,0.005690369530744693
25,225.22522522522524,0.0061743614083032
26,234.23423423423424,0.006678090062455692
27,243.24324324324326,0.0072015525571215225
28,252.25225225225228,0.007744745721651448
29,261.26126126126127,0.00830766614183317
30,270.27027027027026,0.00889031015090108
31,279.2792792792793,0.009492673820550539
32,288.2882882882883,0.010114752951956988
33,297.2972972972973,0.010756543066800303
34,306.30630630630634,0.011418039398294666
35,315.31531531531533,0.012099236882224324
36,324.3243243243243,0.012800130147985696
37,333.33333333333337,0.0135207135096361
38,342.34234234234236,0.014260980956949552
39,351.35135135135135,0.015020926146480094
40,360.36036036036035,0.015800542392632913
41,369.3693693693694,0.01659982265874392
42,378.3783783783784,0.01741875954816795
43,387.3873873873874,0.018257345295376336
44,396.3963963963964,0.019115571757064045
45,405.4054054054054,0.01999343040326704
46,414.4144144144144,0.02089091230849029
47,423.42342342342346,0.021808008142846908
48,432.43243243243245,0.022744708163208935
49,441.44144144144144,0.023701002204370374
50,450.4504504504505,0.02467687967022283
51,459.4594594594595,0.025672329524944495
52,468.4684684684685,0.026687340284202863
53,477.4774774774775,0.027721900006371904
54,486.4864864864865,0.028775996283764045
55,495.4954954954955,0.029849616233877902
56,504.50450450450455,0.0309427464906619
57,513.5135135135135,0.032055373195794795
58,522.5225225225225,0.03318748198998351
59,531.5315315315315,0.03433905800427893
60,540.5405405405405,0.03551008585141037
61,549.5495495495496,0.03670054961713932
62,558.5585585585586,0.03791043285163302
63,567.5675675675676,0.03913971856085889
64,576.5765765765766,0.040388389198000016
65,585.5855855855856,0.04165642665489273
66,594.5945945945946,0.04294381225348689
67,603.6036036036036,0.044250526737329536
68,612.6126126126127,0.04557655026307277
69,621.6216216216217,0.0469218623920063
70,630.6306306306307,0.04828644208161582
71,639.6396396396397,0.049670267677167645
72,648.6486486486486,0.05107331690332052
73,657.6576576576576,0.05249556685576526
74,666.6666666666667,0.05393699399289318
75,675.6756756756757,0.0553975741274939
76,684.6846846846847,0.05687728241848366
77,693.6936936936937,0.05837609336266442
78,702.7027027027027,0.05989398078651517
79,711.7117117117117,0.06143091783801584
80,720.7207207207207,0.06298687697850489
81,729.7297297297298,0.06456182997457138
82,738.7387387387388,0.06615574788998217
83,747.7477477477478,0.06776860107764567
84,756.7567567567568,0.0694003591716123
85,765.7657657657658,0.07105099107911314
86,774.7747747747748,0.07272046497263725
87,783.7837837837839,0.07440874828204895
88,792.7927927927929,0.07611580768674565
89,801.8018018018018,0.07784160910785742
90,810.8108108108108,0.07958611770048878
91,819.8198198198198,0.08134929784600445
92,828.8288288288288,0.08313111314435902
93,837.8378378378379,0.08493152640647246
