,start_flow_volume,feed_time,ramp_factor,enzyme_activity
0,0.0002809109769979336,0.07618219539958673,0.05356832327484502,0.34050608399178106
1,0.0002809109769979336,0.07618219539958673,0.08643167672515499,0.09504678298728646
2,0.0002809109769979336,0.16381780460041329,0.05356832327484502,0.48881462077744803
3,0.0002809109769979336,0.16381780460041329,0.08643167672515499,2.6287019888375585
4,0.0007190890230020664,0.07618219539958673,0.05356832327484502,0.046318681884865424
5,0.0007190890230020664,0.07618219539958673,0.08643167672515499,0.019712004302546916
6,0.0007190890230020664,0.16381780460041329,0.05356832327484502,1.571103405494304
7,0.0007190890230020664,0.16381780460041329,0.08643167672515499,2.4014380264686226
8,0.0005,0.12000000000000001,0.07,2.1339394364314903
9,0.0005,0.12000000000000001,0.07,2.1339394364314903
10,0.0005,0.12000000000000001,0.07,2.1339394364314903
11,0.0005,0.12000000000000001,0.07,2.1339394364314903
12,0.00010000000000000005,0.12000000000000001,0.07,2.25865760040199
13,0.0009,0.12000000000000001,0.07,1.434504779380249
14,0.0005,0.04000000000000001,0.07,0.009017262147751653
15,0.0005,0.2,0.07,0.6310891613375725
16,0.0005,0.12000000000000001,0.04000000000000001,1.2999121415159145
17,0.0005,0.12000000000000001,0.1,0.2508472875465504
18,0.0005,0.12000000000000001,0.07,2.1339394364314903
19,0.0005,0.12000000000000001,0.07,2.1339394364314903
20,0.0005,0.12000000000000001,0.07,2.1339394364314903
21,0.0005,0.12000000000000001,0.07,2.1339394364314903
